Name,Released,ESRB,Rating,Genres,Platforms,Metacritic,Publishers,Tags,Description,ImageURL
Half-Life 2,2004-11-16,Mature,4.48,"Action, Shooter","PC, macOS, Xbox 360, Linux, Xbox, Android",96,Valve,"Singleplayer, Steam Achievements, Multiplayer, Steam Cloud, Atmospheric, steam-trading-cards, Great Soundtrack, Story Rich, First-Person, Sci-fi, Partial Controller Support, Horror, FPS, Classic, Zombies, Moddable, Captions available, Physics, Aliens, Dystopian, Includes Source SDK, Silent Protagonist, vr mod","Gordon Freeman became the most popular nameless and voiceless protagonist in gaming history. He is painted as the most famous scientist and a hero within the world of Half-Life, and for a good reason. In the first game he saved the planet from alien invasion, this time, when the invasion is already begun, the world needs his help one more time. And you, as a player, will help this world to survive. This time Gordon arrives in City 17, ravaged and occupied by Combines, where he meets his old Blac",https://media.rawg.io/media/games/b8c/b8c243eaa0fbac8115e0cdccac3f91dc.jpg
Borderlands 2,2012-09-18,Mature,4.01,"Action, Shooter, RPG","PlayStation 3, macOS, PC, Android, Linux, PS Vita, Xbox 360",89,"2K Games, Aspyr","Singleplayer, Steam Achievements, Multiplayer, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, RPG, Co-op, Open World, cooperative, Sci-fi, FPS, Online Co-Op, Funny, Comedy, Action RPG, Futuristic, Memes, Stylized, Dark Humor, Loot","Sequel to the 4-player cooperative FPS RPG Borderlands, where the new team of Vault Hunters arrives on the infamous planet Pandora in order to get the riches, hidden inside the Vault, and help to free the planet from the Handsome Jack, President of Hyperion. Clear out the endless waves and groups and marauders with various weapon types and character abilities.
Unlike the first game, Borderlands 2 provided DLC not only expanding the world of Pandora with stand-alone story campaigns but adding 2 ",https://media.rawg.io/media/games/49c/49c3dfa4ce2f6f140cc4825868e858cb.jpg
Life is Strange,2015-01-29,Mature,4.12,Adventure,"iOS, PC, Linux, PlayStation 3, macOS, Xbox 360, Android, PlayStation 4, Xbox One",83,"Square Enix, Feral Interactive","Singleplayer, Full controller support, Atmospheric, steam-trading-cards, Great Soundtrack, Story Rich, Third Person, Female Protagonist, Dark, Point & Click, Mystery, Short, Choices Matter, Memes, Walking Simulator, Multiple Endings, Story, Episodic, Soundtrack, Time Travel, Time Manipulation, student, strange, photography","Interactive storytelling and plot-heavy games gained popularity, and Life is Strange arrived as teen mystery adventure. The plot will go through the life of Maxine, a teenager in possession of curious power, allowing her to stop and rewind time, in order to manipulate her surroundings. Max, after the reunion with her friend Chloe, is on the path to uncovering the secrets of Arcadia Bay. Players will have to deal with puzzle solving through the fetch quests, in order to change the world around ",https://media.rawg.io/media/games/562/562553814dd54e001a541e4ee83a591c.jpg
BioShock,2007-08-21,Mature,4.36,"Action, Shooter","PlayStation 3, macOS, PC, Xbox 360",96,"2K Games, Feral Interactive","Singleplayer, Atmospheric, Great Soundtrack, RPG, Story Rich, First-Person, Sci-fi, Partial Controller Support, Horror, FPS, Classic, Action RPG, Dark, Dystopian, Steampunk, Alternate History, Political, Underwater","FPS with RPG elements, Bioshock invites players to experience horrors of underwater isolation in the city of Rapture, the failed project of the better future. After surviving the plane crash, the protagonist has only one way to go  to the giant lighthouse that opens a way to the underwater utopia. Players will have to unravel the complicated history of Rapture, relying only on themselves, their guns and Plasmids, a mystical substance, that allows its user to obtain near magical abilities.
The",https://media.rawg.io/media/games/bc0/bc06a29ceac58652b684deefe7d56099.jpg
Destiny 2,2017-09-06,Teen,3.52,"Action, Shooter","PlayStation 4, Xbox One, PC, Web, Xbox Series S/X, PlayStation 5",82,"Activision Blizzard, Bungie","Singleplayer, Multiplayer, Full controller support, Atmospheric, Great Soundtrack, Co-op, Open World, cooperative, First-Person, Sci-fi, FPS, Online Co-Op, Exploration, Free to Play, Online multiplayer, Action-Adventure, PvP, Space, combat, Futuristic, Aliens, Story, 3rd-Person Perspective, online, MMORPG, PvE, Loot, Lore-Rich, city, friends, console, Masterpiece, weapons, skill, destroy, collect, hunt, gun, rain, enemy, quick, darkness, defender","Destiny 2 is an online multiplayer first-person shooter. You take on the role of a Guardian that needs to protect the last city on Earth from alien invaders. The game follows its predecessor, Destiny. The goal of the game is to return the Light that was stolen from the Guardians by the aliens.
Destiny 2 features two main activity types: player versus environment and player versus player. PvE is focused on exploration, story missions interaction with NPCs and side quests. PvP features 4v4 team ma",https://media.rawg.io/media/games/34b/34b1f1850a1c06fd971bc6ab3ac0ce0e.jpg
God of War (2018),2018-04-20,Mature,4.55,Action,"PC, PlayStation 4",94,"Sony Interactive Entertainment, PlayStation PC","Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, RPG, Story Rich, Third Person, Fantasy, Gore, Exploration, Violent, Action-Adventure, Action RPG, Hack and Slash, exclusive, 3D, Crafting, combat, true exclusive, 3rd-Person Perspective, Blood, PvE, Emotional, Souls-like, Mythology, Remote Play on TV","It is a new beginning for Kratos. Living as a man outside the shadow of the gods, he ventures into the brutal Norse wilds with his son Atreus, fighting to fulfill a deeply personal quest. 

His vengeance against the Gods of Olympus years behind him, Kratos now lives as a man in the realm of Norse Gods and monsters. It is in this harsh, unforgiving world that he must fight to survive And teach his son to do the same. This startling reimagining of God of War deconstructs the core elements that ",https://media.rawg.io/media/games/4be/4be6a6ad0364751a96229c56bf69be59.jpg
Fallout 4,2015-11-09,Mature,3.81,"Action, RPG","PlayStation 4, PC, PlayStation 5, Xbox One",84,Bethesda Softworks,"Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, Great Soundtrack, RPG, Story Rich, Open World, First-Person, Third Person, Sci-fi, FPS, Exploration, Sandbox, Survival, Action RPG, Third-Person Shooter, Post-apocalyptic","The fourth game in the post-apocalyptic action RPG series from Bethesda studious brings players back to the retro-future. After customizing the facial features of the character, players will be admitted to the Vault 111 with their family, and tricked into entering the cryogenic capsule. After the rude awakening after the unknown amount of time has passed, the child is separated from the parents and the loving partner is killed in front of them  the main quest is settled. Now theres only the gi",https://media.rawg.io/media/games/d82/d82990b9c67ba0d2d09d4e6fa88885a7.jpg
PAYDAY 2,2013-08-13,Adults Only,3.52,"Action, Shooter","Linux, PC, Xbox One",79,"505 Games, Starbreeze","Singleplayer, Steam Achievements, Multiplayer, Full controller support, steam-trading-cards, Great Soundtrack, Co-op, cooperative, First-Person, FPS, Online Co-Op, Funny, Stealth, Tactical, In-App Purchases, Team-Based, Crime, PvE, Heist, Gun Customization","The gang is back, and they have bigger and better plans. Objective based cooperative FPS became more complicated. The classic group of Hoxton, Dallas, Chains and Wolf got reinforcement, and now Payday Gang consists of 21 heisters, some of which are based on movie characters or even Youtubers. Players will be able to customize their own private arsenal, their masks, and skills, to complete the missions in their own way, be it stealthy sneak-in or full frontal assault. After completing missions, p",https://media.rawg.io/media/games/73e/73eecb8909e0c39fb246f457b5d6cbbe.jpg
Limbo,2010-07-21,Teen,4.14,"Action, Adventure, Indie, Puzzle, Platformer","PC, Android, PS Vita, PlayStation 4, PlayStation 3, Xbox 360, Linux, macOS, iOS, Xbox One, Nintendo Switch",88,"Microsoft Studios, Playdead, ??","Singleplayer, Full controller support, Atmospheric, 2D, Horror, Difficult, Action-Adventure, Pixel Graphics, Controller, Dark, controller support, Short, Dark Fantasy, Physics, Side Scroller, Cinematic, combat, Linear, Surreal, Puzzle-Platformer, Minimalist, 2D Fighter, Noir, Family Sharing, 2D Platformer, 2D-??????????, 2D-???????","This popular 2D puzzle-platformer creates the atmosphere of isolation, where the player alone can guide the nameless protagonist to his destination. Hostile environments and one-hit deaths may seem difficult, but the game implements a fair amount of checkpoints. The monochrome color palette showcases cartoony proportions of every living thing while making lack of details threatening. Limbo shows you exactly what you encounter, but never how it looks.

Limbo uses the atmosphere and sound design o",https://media.rawg.io/media/games/942/9424d6bb763dc38d9378b488603c87fa.jpg
Team Fortress 2,2007-10-10,Mature,3.68,"Action, Shooter","PC, macOS, Linux",92,Valve,"Steam Achievements, Multiplayer, steam-trading-cards, Co-op, cooperative, First-Person, Partial Controller Support, FPS, Online Co-Op, Funny, Comedy, Free to Play, Tactical, stats, Steam Workshop, Cross-Platform Multiplayer, Includes level editor, Moddable, In-App Purchases, Captions available, Crafting, Team-Based, Competitive, Valve Anti-Cheat enabled, Robots, Commentary available, Cartoony, Cartoon, Class-Based, Trading","TF2 is an objective based arena shooter with unique characters, representing different classes, acting as a staple of casual and competitive gaming for Steam. Dozens of different maps and game modes are trying to keep this game alive, after all the years it was available. Each character has a vast arsenal that can be accessed through completing in-game achievements, randomly receiving them from loot-boxes within the game, crafting them or just buying and trading items on the Steam Market. 
For ",https://media.rawg.io/media/games/46d/46d98e6910fbc0706e2948a7cc9b10c5.jpg
DOOM (2016),2016-05-12,Mature,4.38,"Action, Shooter","PC, PlayStation 4, Nintendo Switch, Xbox One",85,Bethesda Softworks,"Singleplayer, Multiplayer, Atmospheric, Great Soundtrack, Co-op, cooperative, First-Person, Sci-fi, Partial Controller Support, Horror, FPS, Gore, Difficult, Classic, Zombies, Memes, Fast-Paced, Remake, Blood, Demons","Return of the classic FPS, Doom (2016) acts as a reboot of the series and brings back the Doomslayer, protagonist of the original Doom games. In order to solve the energy crisis, humanity learned to harvest the energy from Hell, and when something went wrong and a demon invasion has started, its up to the player to control the Doomslayer and destroy the evil.

Doom is a fast-paced game that restores the concept of instant health packs and leaves the player against armies of Hell with no cover, ",https://media.rawg.io/media/games/587/587588c64afbff80e6f444eb2e46f9da.jpg
Cyberpunk 2077,2020-12-10,Mature,4.21,"Action, Shooter, RPG","PlayStation 4, PC, Xbox Series S/X, PlayStation 5, Xbox One",73,CD PROJEKT RED,"Singleplayer, Atmospheric, Great Soundtrack, RPG, Story Rich, Open World, First-Person, Sci-fi, FPS, Exploration, Sandbox, Violent, Action-Adventure, Action RPG, role-playing, Nudity, Mature, Cinematic, Futuristic, Sexual Content, Cyberpunk, Crime, Robots, 3rd-Person Perspective, Blood, America, Masterpiece, Soundtrack, Hacking, Role Playing Game, immersive, Photorealistic","Cyberpunk 2077 is a science fiction game loosely based on the role-playing game Cyberpunk 2020.

###Setting
The game is set in the year 2077 in a fictional futuristic metropolis Night City in California. In the world of the game, there are developed cybernetic augmentations that enhance people's strength, agility, and memory. The city is governed by corporations. Many jobs are taken over by the robots, leaving a lot of people poor and homeless. Night City has a roaring underworld, with black ",https://media.rawg.io/media/games/26d/26d4437715bee60138dab4a7c8c59c92.jpg
Terraria,2011-05-16,Teen,4.07,"Action, Indie, Platformer","Xbox 360, Wii U, Nintendo 3DS, Xbox One, PlayStation 4, iOS, PC, macOS, Linux, Nintendo Switch, PlayStation 3, PS Vita, Android",81,"505 Games, Headup Games, Spike Chunsoft, Re-Logic","Singleplayer, Steam Achievements, Multiplayer, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, RPG, Co-op, Open World, 2D, Online Co-Op, Exploration, Sandbox, Survival, Online multiplayer, Pixel Graphics, role-playing, Family Friendly, controller support, Replay Value, Crafting, Building, overlay","Terraria is a 2D action adventure sandbox game, where players create a character and gather resources in order to gradually craft stronger weapons and armor. Players create randomly generated maps that contain different locations within it, and by gathering specific resources and triggering special events, players will fight one of the many in-game bosses. Created characters can be played on different maps.
The game introduces hundreds of unique items that can be found across the entirety of th",https://media.rawg.io/media/games/f46/f466571d536f2e3ea9e815ad17177501.jpg
Dota 2,2013-07-09,N/A,3.07,"Action, Massively Multiplayer","Linux, macOS, PC",90,Valve,"Multiplayer, steam-trading-cards, RPG, Co-op, cooperative, Online Co-Op, Fantasy, Difficult, Free to Play, Action RPG, Steam Workshop, PvP, In-App Purchases, Character Customization, Replay Value, Team-Based, RTS, Competitive, Valve Anti-Cheat enabled, Tower Defense, MOBA, e-sports, SteamVR Collectibles","What used to be an unofficial modded map for the Warcraft 3, ended up being the most budgeted cybersport discipline, gathering millions of people to watch annual international championships.
MOBA genre started with the DOTA, Defense of the Ancients, which can be efficiently described as 5 vs 5 top-down action strategy game, during which players are tasked to destroy the enemy core while protecting their own.
Players can pick out of the roster of 112 heroes and battle on the single map while taki",https://media.rawg.io/media/games/6fc/6fcf4cd3b17c288821388e6085bb0fc9.jpg
Warframe,2013-03-25,N/A,3.42,"Action, Shooter, RPG, Massively Multiplayer","iOS, Xbox Series S/X, PlayStation 5, PlayStation 4, Xbox One, Nintendo Switch, PC",73,Digital Extremes,"Singleplayer, Multiplayer, steam-trading-cards, RPG, Co-op, cooperative, Third Person, Sci-fi, Partial Controller Support, FPS, Online Co-Op, Free to Play, Third-Person Shooter, Space, role-playing, Hack and Slash, In-App Purchases, Futuristic, Parkour, Cyberpunk, PvE, Ninja, looter shooter","Warframe is an online free-to-play cooperative third-person looter shooter. In the far future the Orokin had absolute control over the solar system but have since disappeared, now the militaristic Grineer, the money-worshipping Corpus, and the Infested fight for what they left behind. You are a Tenno - a master of gun and blade and user of the Warframes, it is up to you to bring back balance to the system from within, while also fighting a new threat from without: the Sentients.
Over 40 unique ",https://media.rawg.io/media/games/f87/f87457e8347484033cb34cde6101d08d.jpg
Grand Theft Auto IV,2008-04-29,Mature,4.26,Action,"Xbox 360, PC, PlayStation 3, Xbox One",95,"Capcom, Rockstar Games, Take Two Interactive","Singleplayer, Multiplayer, Atmospheric, Co-op, Open World, cooperative, Third Person, Partial Controller Support, Funny, Gore, Classic, Sandbox, Third-Person Shooter, Moddable, Crime, Dark Humor, Satire, first person mod, Bowling","Every crime story is a story of a search for success. The player will become Niko Bellic, immigrant arriving at the Liberty City to reunite with his cousin Roman and find the man that betrayed him and his army unit fifteen years prior to the events of the game. While protecting his cousin, Niko has to deal with loan sharks, Russian mobsters, and other gangs. After the third game, GTA brought more realism to the player, in order to make the city and its people look more believable. Street vendors",https://media.rawg.io/media/games/4a0/4a0a1316102366260e6f38fd2a9cfdce.jpg
Rocket League,2015-07-07,Everyone,3.93,"Sports, Racing, Indie","Nintendo Switch, Linux, macOS, Xbox One, PC, PlayStation 4",86,Psyonix,"Singleplayer, Steam Achievements, Multiplayer, Full controller support, Steam Cloud, steam-trading-cards, Great Soundtrack, Co-op, cooperative, Online Co-Op, Funny, Split Screen, Local Co-Op, Local Multiplayer, stats, Steam Workshop, Cross-Platform Multiplayer, Team-Based, Fast-Paced, Competitive, 4 Player Local, 4 giocatori divano, Football, Soccer, lan party","Highly competitive soccer game with rocket-cars is the most comprehensive way to describe this game. Technically a sequel to Psyonix previous game - Supersonic Acrobatic Rocket-Powered Battle-Cars; Rocket League successfully became a standalone sensation, that can be enjoyed by anyone. Easy to learn, hard to master game mechanics are perfect for the tight controls. Players are invited to maneuver the different fields within several game modes, from arcade to ranked game either 1v1, or in 2v2 an",https://media.rawg.io/media/games/8cc/8cce7c0e99dcc43d66c8efd42f9d03e3.jpg
Horizon Zero Dawn,2017-02-28,Teen,4.28,"Action, RPG","PC, PlayStation 4",89,Sony Computer Entertainment,"Singleplayer, Atmospheric, Great Soundtrack, RPG, Story Rich, Open World, Third Person, Sci-fi, Exploration, Female Protagonist, Stealth, Action RPG, role-playing, exclusive, Post-apocalyptic, Cinematic, Futuristic, Robots, 3rd-Person Perspective, Drama, Lore-Rich, 3rd-person, Experience, open-world, atmosphere","Horizon Zero Dawn is an experiment. A very impressive experiment that actually succeeded. 
Having a very curious mix of cyberpunk and prehistorical styles and esthetic, the game provides us with quite a unique experience. We need to arm ourselves with arrows and a bow, with a spear or any other prehistorical-ish weapon in order to defeat out enemies - dinosaur-mechanisms that are spread around the world. If that wasn't enough, Aloy our main protagonist can control an AI named GAIA. What we're h",https://media.rawg.io/media/games/b7d/b7d3f1715fa8381a4e780173a197a615.jpg
Metro 2033,2010-03-16,Mature,3.94,"Action, Shooter","Xbox 360, PC",79,"Deep Silver, THQ","Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, Great Soundtrack, Story Rich, First-Person, Sci-fi, Horror, FPS, Survival, Stealth, Dark, Survival Horror, Post-apocalyptic, 3D Vision, Linear, Based On A Novel, Benchmark","Not all post-apocalyptic stories begin in the burned wastelands, this time nuclear and chemical locked up survivors in the Moscow Subway, and player will take the place of Artyom, one of the survivors from the VDNKh, adoptive son of the station commander, and taking upon himself the task to deliver information about the Dark Ones to the Polis, the capital of subway, after the special operative from Spartans named Hunter went missing, after he ventured to gather information on the Hive  living s",https://media.rawg.io/media/games/120/1201a40e4364557b124392ee50317b99.jpg
Rise of the Tomb Raider,2015-11-10,N/A,4.04,Action,"Xbox One, PC, macOS, PlayStation 4",86,"Square Enix, Microsoft Studios, Feral Interactive","Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, Great Soundtrack, RPG, Story Rich, Open World, Third Person, Steam Leaderboards, Exploration, Female Protagonist, Survival, Stealth, Action-Adventure, Third-Person Shooter, Parkour, Quick-Time Events, Lara Croft","Rise of the Tomb Raider is the eleventh entry in the franchise, being a sequel to its predecessor, Tomb Raider, a reboot of the franchise. This story follows Lara Croft, one year after battling her supernatural experiences in Yamatai. This time she is trying to find the legendary city of Kitezh in Siberia, Russia. The legend behind the city begins in the 12th century and still comes nowadays, that this ancient city grants with a promise of immortality. While Lara tries to solve the mystery of Si",https://media.rawg.io/media/games/b45/b45575f34285f2c4479c9a5f719d972e.jpg
Batman: Arkham Knight,2015-06-23,Mature,4.24,Action,"PC, Nintendo Switch, Xbox One, PlayStation 4",81,Warner Bros. Interactive,"Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, Story Rich, Open World, Third Person, Horror, Steam Leaderboards, Sandbox, Stealth, Dark, Mature, Beat 'em up, Detective, Comic Book, Superhero, Batman","Batman: Arkham Knight is the final instalment for the Arkham series by now. Joining forces with Bruce Wayne for the last time, we have to oppose Scarecrow and other iconic villains such as The Riddler, Harleen Quinzel a.k.a. Harley Quinn, Penguin and others.

The story continued after events in Arkham City when Joker died due to infection in his blood. Now, Scarecrow tries to release a new fear toxin, meanwhile new mysterious Arkham Knight plots against Batman as well. Still having consequences ",https://media.rawg.io/media/games/310/3106b0e012271c5ffb16497b070be739.jpg
Metal Gear Solid V: The Phantom Pain,2015-09-01,Mature,4.16,"Action, Shooter","PlayStation 4, PC, Xbox One, PlayStation 3, Xbox 360",91,Konami,"Singleplayer, Steam Achievements, Multiplayer, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, Great Soundtrack, Story Rich, Open World, Third Person, Sci-fi, Steam Leaderboards, Sandbox, Stealth, Tactical, Third-Person Shooter, Dark, Captions available, Replay Value, Cinematic, Heist, Horses","Metal Gear Solid 5 continues the story of MGS: Peace Walker and MGS V: Ground Zeroes. Snake seeks revenge for the attack on the MSF group 9 years ago, that placed Big Boss into a coma. After the failed assassination attempt, Big Boss takes the code name Venom Snake, delving back into the world of superhumans and espionage.
A large-scale story that includes 5 hours of cinematic cutscenes compliments open world exploration with hundreds of audio logs and side missions, forming the atmosphere of m",https://media.rawg.io/media/games/490/49016e06ae2103881ff6373248843069.jpg
